"abn","charity_legal_name","charity_size","ais_year","endorsement_fy","event_year","is_startup","donations_and_bequests","total_gross_income","donation_share"
"70206791848","One In Five Association Inc.","Small",2019,2020,-1,FALSE,223168,223168,1
"70246229631","Tullamarine Community House and Men's Shed Incorporated","Small",2019,2021,-2,FALSE,5732,182481,0.0314114894153364
"70517042298","Mphatso Children's Foundation Incorporated","Small",2019,2023,-4,FALSE,93673,108685,0.861876063854258
"70828113699","Emergency & Long Term Accommodation Moranbah Inc","Medium",2019,2020,-1,FALSE,0,489835,0
"70957910935","Merewether Surf Lifesaving Club Inc","Small",2019,2021,-2,FALSE,17355,161137,0.107703382835724
"71005239510","Diabetes Victoria","Large",2019,2022,-3,FALSE,4134582,27665122,0.149451066942701
"71127608677","4EK Incorporated","Small",2019,2020,-1,TRUE,14187,24864,0.570583976833977
"71160962096","Overseas Services to Survivors of Torture and Trauma (OSSTT) Ltd","Small",2019,2023,-4,FALSE,0,1990873,0
"71166864151","IndianCare Incorporated","Small",2019,2022,-3,FALSE,0,96483,0
"71301043868","Joseph's Corner","Small",2019,2021,-2,FALSE,75058,137430,0.546154405879357
"71553906532","Cardiff District Men's Shed Inc","Small",2019,2021,-2,FALSE,723,80419,0.0089904127134135
